# rho_B       Z   N                   tau_n                    tau_p                    tau_t                    field                     spin-orbit                coul_dir                 coul_exc                 coul_tot                 skyrme                   strut_p                   pair_n                   e_pair_bcs_p             k_e                      coul_ee                  coul_pe                   mu_n                     mu_p                     mu_e                     mu_t                     e_t                      e/a_t
  0.02000000  20  495.71213231534040  5.1797129478429506E+003  1.9463979448115410E+002  5.3743527423241048E+003  -3.7098158640918696E+003  -3.2141690808954181E+001  6.0045800740657860E+001  0.0000000000000000E+000  6.0045800740657860E+001  1.6924409881639406E+003  -1.1493280309312013E+000  0.0000000000000000E+000  0.0000000000000000E+000  8.3118481342507278E+002  1.9831693546475112E+001  -4.6209214458728702E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  2.4804520926457922E+003  4.8090842598962951E+000
  0.02000000  22  546.10079358246833  5.7100619952704765E+003  2.1390870722091017E+002  5.9239707024913869E+003  -4.0952277046712188E+003  -3.4127666898975001E+001  7.0405464870517179E+001  0.0000000000000000E+000  7.0405464870517179E+001  1.8650207957917091E+003  3.3277609888339157E+000   0.0000000000000000E+000  0.0000000000000000E+000  9.1385922878038468E+002  2.3164501819922208E+001  -5.4140898975774732E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  2.7340198424050495E+003  4.8119251010170681E+000
  0.02000000  24  593.77700156274591  6.2167466939315373E+003  2.3316646011759613E+002  6.4499131540491335E+003  -4.4717809009738794E+003  -3.6041733806754522E+001  8.1409480527004774E+001  0.0000000000000000E+000  8.1409480527004774E+001  2.0234999997955008E+003  5.6864161539460838E+000   0.0000000000000000E+000  0.0000000000000000E+000  9.9800838575002660E+002  2.6738119818412187E+001  -6.2654909214767713E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  2.9725017803030996E+003  4.8110117965647552E+000
  0.02000000  26  639.25589204600601  6.7036793262904439E+003  2.5244264465841115E+002  6.9561219709488551E+003  -4.8410042353494928E+003  -3.7899226078206347E+001  9.3041330088907728E+001  0.0000000000000000E+000  9.3041330088907728E+001  2.1702598396100634E+003  6.2023221131814807E+000   0.0000000000000000E+000  0.0000000000000000E+000  1.0833659520131564E+003  3.0545503084003375E+001  -7.1734890703810080E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  3.1982978081165807E+003  4.8076204154614981E+000
  0.02000000  28  682.67685741178377  7.1733611086499641E+003  2.7165810567563352E+002  7.4450192143255972E+003  -5.2037926077681213E+003  -3.9692110174083034E+001  1.0527420269649684E+002  0.0000000000000000E+000  1.0527420269649684E+002  2.3068086990798884E+003  5.1030339602837103E+000   0.0000000000000000E+000  0.0000000000000000E+000  1.1698792673834275E+003  3.4584704983392747E+001  -8.1375488339751286E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  3.4130946130672314E+003  4.8025970980525869E+000
  0.02000000  30  729.29921140857891  7.6717510304767347E+003  2.9078222505406768E+002  7.9625332555308023E+003  -5.5783270367167106E+003  -4.1433211583343301E+001  1.1807580150785063E+002  0.0000000000000000E+000  1.1807580150785063E+002  2.4608488087385981E+003  6.4156165906426850E+000   0.0000000000000000E+000  0.0000000000000000E+000  1.2546328777029291E+003  3.8766375408937648E+001  -9.1373684462561371E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  3.6458197039785382E+003  4.8015586598705511E+000
  0.02000000  32  774.31525814639781  8.1568091715544797E+003  3.0972208063927718E+002  8.4665312521937576E+003  -5.9477328583083900E+003  -4.3096969176080741E+001  1.3142983207072439E+002  0.0000000000000000E+000  1.3142983207072439E+002  2.6071312567800096E+003  6.0315459525888855E+000   0.0000000000000000E+000  0.0000000000000000E+000  1.3402899504488614E+003  4.3163906577342459E+001  -1.0189404572517338E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  3.8696876380336234E+003  4.7987249327244017E+000
  0.02000000  34  817.50904324994553  8.6254573719782129E+003  3.2880262495327366E+002  8.9542599969314870E+003  -6.3111748082125368E+003  -4.4751510355143161E+001  1.4536374919627659E+002  0.0000000000000000E+000  1.4536374919627659E+002  2.7436974275600819E+003  4.1324281794152284E+000   0.0000000000000000E+000  0.0000000000000000E+000  1.4269863394981805E+003  4.7781206327322415E+001  -1.1294635260711640E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  4.0830513869578795E+003  4.7945967725821621E+000
  0.02000000  36  862.57380857094063  9.1108595270330607E+003  3.4767499390388508E+002  9.4585345209369461E+003  -6.6813465119426783E+003  -4.6340265111732002E+001  1.5980994120073115E+002  0.0000000000000000E+000  1.5980994120073115E+002  2.8906576850832676E+003  4.0631705508321829E+000   0.0000000000000000E+000  0.0000000000000000E+000  1.5126400738841128E+003  5.2546905599479899E+001  -1.2436639541287383E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  4.3073770917048150E+003  4.7931079865744826E+000
  0.02000000  38  906.72168093399739  9.5876635812346649E+003  3.6651980249592907E+002  9.9541833837305931E+003  -7.0483710544635251E+003  -4.7894550449223622E+001  1.7478724068808688E+002  0.0000000000000000E+000  1.7478724068808688E+002  3.0327050195059305E+003  3.0856882316584233E+000   0.0000000000000000E+000  0.0000000000000000E+000  1.5988238020609215E+003  5.7509561187643293E+001  -1.3626455895620472E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  4.5261304780299461E+003  4.7909670851969484E+000
  0.02000000  40  951.36929080919322  1.0069967509692890E+004  3.8537140288384126E+002  1.0455338912576732E+004  -7.4179441595021935E+003  -4.9429219292520038E+001  1.9028528759912660E+002  0.0000000000000000E+000  1.9028528759912660E+002  3.1782508213811457E+003  2.3172970575883483E+000   0.0000000000000000E+000  0.0000000000000000E+000  1.6847312809194252E+003  6.2638231711060492E+001  -1.4857004047363804E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  4.7480738705955791E+003  4.7894098744145257E+000
  0.02000000  42  999.97968534276731  1.0587491099518231E+004  4.0393825728293513E+002  1.0991429356801165E+004  -7.8014234834578228E+003  -5.0897955477549147E+001  2.0624023940700980E+002  0.0000000000000000E+000  2.0624023940700980E+002  3.3453481572728006E+003  4.9373962620989005E+000   0.0000000000000000E+000  0.0000000000000000E+000  1.7683709609531736E+003  6.7853391136773823E+001  -1.6109950406960579E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  4.9925519955552390E+003  4.7914101069164392E+000
  0.02000000  44  1047.0648239524885  1.1092575578291002E+004  4.2247587976072782E+002  1.1515051458051730E+004  -8.1802400293497922E+003  -5.2338849330001850E+001  2.2269309081059697E+002  0.0000000000000000E+000  2.2269309081059697E+002  3.5051656701825314E+003  6.4089484302412529E+000   0.0000000000000000E+000  0.0000000000000000E+000  1.8528843007349690E+003  7.3267113502383594E+001  -1.7410883020221442E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  5.2291941106479098E+003  4.7923344293426169E+000
  0.02000000  46  1093.5067400889511  1.1591491196252848E+004  4.4109647343842283E+002  1.2032587669691271E+004  -8.5569577207253515E+003  -5.3776466461694795E+001  2.3965136526195673E+002  0.0000000000000000E+000  2.3965136526195673E+002  3.6615048477661794E+003  6.8226339714815367E+000   0.0000000000000000E+000  0.0000000000000000E+000  1.9377666530974936E+003  7.8859569768789171E+001  -1.8755314092395295E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  5.4614127856799896E+003  4.7923909333386892E+000
  0.02000000  48  1138.6223499863486  1.2078041603486803E+004  4.5963779081118895E+002  1.2537679394297991E+004  -8.9288821567258237E+003  -5.5178313388129183E+001  2.5708537700375348E+002  0.0000000000000000E+000  2.5708537700375348E+002  3.8107043011877936E+003  6.2594206095477603E+000   0.0000000000000000E+000  0.0000000000000000E+000  2.0234121356167036E+003  8.4645882217420862E+001  -2.0146578000246785E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  5.6860034956289983E+003  4.7917549300272064E+000
  0.02000000  50  1182.7324174562862  1.2557523223526096E+004  4.7806008137975937E+002  1.3035583304905855E+004  -9.2981524450645684E+003  -5.6541303168540942E+001  2.7497770069426451E+002  0.0000000000000000E+000  2.7497770069426451E+002  3.9558672573670087E+003  4.7914454493293306E+000   0.0000000000000000E+000  0.0000000000000000E+000  2.1096412746318988E+003  9.0618672541598130E+001  -2.1582925562405364E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  5.9059722443657802E+003  4.7905841385115906E+000
  0.02000000  52  1230.4233062332812  1.3067270683231953E+004  4.9641052007528418E+002  1.3563681203307237E+004  -9.6795160388877794E+003  -5.7886595439765557E+001  2.9331201908225415E+002  0.0000000000000000E+000  2.9331201908225415E+002  4.1195905880619457E+003  5.8927173625716023E+000   0.0000000000000000E+000  0.0000000000000000E+000  2.1938066887892751E+003  9.6662366883632131E+001  -2.3037928542914193E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  6.1448912396682817E+003  4.7916247387267923E+000
  0.02000000  54  1276.9653312993396  1.3568717013869460E+004  5.1463722205157399E+002  1.4083354235921033E+004  -1.0057712331253922E+004  -5.9194497225265096E+001  3.1208685971102267E+002  0.0000000000000000E+000  3.1208685971102267E+002  4.2785342671528670E+003  5.9569742255403071E+000   0.0000000000000000E+000  0.0000000000000000E+000  2.2786352597057353E+003  1.0288985480630298E+002  -2.4537305938278345E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  6.3783967745076616E+003  4.7919499412471573E+000
  0.02000000  56  1322.6571645109918  1.4061180804033493E+004  5.3291788005508863E+002  1.4594098684088582E+004  -1.0432566697554759E+004  -6.0497785517191062E+001  3.3132713044987617E+002  0.0000000000000000E+000  3.3132713044987617E+002  4.4323613314664999E+003  5.0584418532880591E+000   0.0000000000000000E+000  0.0000000000000000E+000  2.3639556958146968E+003  1.0929350606748177E+002  -2.6079408204494598E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  6.6060636851570207E+003  4.7916652922914009E+000
  0.02000000  58  1366.8968943105660  1.4542695517228729E+004  5.5107198463285431E+002  1.5093767501861583E+004  -1.0803188860316264E+004  -6.1764096506882154E+001  3.5099433886884316E+002  0.0000000000000000E+000  3.5099433886884316E+002  4.5798088839072798E+003  3.2670861538267673E+000   0.0000000000000000E+000  0.0000000000000000E+000  2.4501191315690426E+003  1.1588943240798352E+002  -2.7667774146686122E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  6.8270308985712709E+003  4.7909035284819561E+000
  0.02000000  60  1415.9867169209178  1.5065597047338246E+004  5.6914832018742538E+002  1.5634745367525671E+004  -1.1190261553944003E+004  -6.3019556598027279E+001  3.7106805544484001E+002  0.0000000000000000E+000  3.7106805544484001E+002  4.7525323124284787E+003  5.1240148041565590E+000   0.0000000000000000E+000  0.0000000000000000E+000  2.5334728235938073E+003  1.2250392053449177E+002  -2.9262616116622786E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  7.0740663301947061E+003  4.7927709979337818E+000
