# rho_B       Z   N                   tau_n                    tau_p                    tau_t                    field                     spin-orbit                coul_dir                 coul_exc                 coul_tot                 skyrme                   strut_p                   pair_n                    e_pair_bcs_p              k_e                      coul_ee                  coul_pe                   mu_n                     mu_p                      mu_e                     mu_t                     e_t                      e/a_t
  0.00500000  20  358.80493318761864  2.1911704000558116E+003  2.5090573411137672E+002  2.4420761341671882E+003  -2.2065121493741399E+003  -3.6673062022544002E+001  6.7719223098031492E+001  0.0000000000000000E+000  6.7719223098031492E+001  2.6661014586853588E+002  -1.3541771828813580E+000  -7.7631472104141119E+000  -5.7824177143228140E-007  5.7729655989933326E+002  1.3844909442265308E+001  -3.2667543929964921E+001  0.0000000000000000E+000  -3.6240801300226750E+001  0.0000000000000000E+000  0.0000000000000000E+000  8.0031988630855085E+002  2.1127493762098424E+000
  0.00500000  22  392.94541747697940  2.4103827602169695E+003  2.7601736616573339E+002  2.6864001263827031E+003  -2.4408090365922731E+003  -3.9064032106081783E+001  7.9472255545163748E+001  0.0000000000000000E+000  7.9472255545163748E+001  2.8599931322951227E+002  4.7536179767749900E+000   -8.4927868647345353E+000  -3.1621180328417395E+000  6.3592799115568255E+002  1.6202071474627587E+001  -3.8344959020908291E+001  0.0000000000000000E+000  -3.4814806029914280E+001  0.0000000000000000E+000  0.0000000000000000E+000  8.7567158391805776E+002  2.1101959117952163E+000
  0.00500000  24  424.91750406340498  2.6221746636473654E+003  3.0116402479034411E+002  2.9233386884377096E+003  -2.6740420733770916E+003  -4.1369388271600215E+001  9.1965082484752529E+001  0.0000000000000000E+000  9.1965082484752529E+001  2.9989230927377025E+002  7.3625166074086792E+000   -9.1655533012472983E+000  -4.0331781852571051E+000  6.9569948078182983E+002  1.8733751099537134E+001  -4.4450982574927345E+001  0.0000000000000000E+000  -3.5349642464015957E+001  0.0000000000000000E+000  0.0000000000000000E+000  9.4526211170107570E+002  2.1056477039507584E+000
  0.00500000  26  455.72941886914828  2.8302815280250975E+003  3.2622637061476024E+002  3.1565078986398576E+003  -2.9069251490315078E+003  -4.3587150516986462E+001  1.0516280875000625E+002  0.0000000000000000E+000  1.0516280875000625E+002  3.1115840784136992E+002  6.9772282200824520E+000   -9.8093030093178299E+000  -3.0678583849007608E+000  7.5610598614355467E+002  2.1426454439041976E+001  -5.0953805071041621E+001  0.0000000000000000E+000  -3.5810158707310983E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.0114961921787611E+003  2.0997185402293161E+000
  0.00500000  28  485.18935144325820  3.0339890937310247E+003  3.5128615687033994E+002  3.3852752506013649E+003  -3.1393414983450784E+003  -4.5736670193498973E+001  1.1905248275633060E+002  0.0000000000000000E+000  1.1905248275633060E+002  3.1924956481911966E+002  3.4488398659109407E+000   -1.0417979147079816E+001  -5.5673738023405486E-006  8.1726789016935231E+002  2.4282432979863223E+001  -5.7858481298713507E+001  0.0000000000000000E+000  -3.5394627161544577E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.0740666578210592E+003  2.0929246774044992E+000
  0.00500000  30  518.35908848442068  3.2513076571077572E+003  3.7611909616406774E+002  3.6274267532718250E+003  -3.3756159153294157E+003  -4.7807912025903626E+001  1.3358712566879134E+002  0.0000000000000000E+000  1.3358712566879134E+002  3.3759005158529442E+002  8.3206042554943451E+000   -1.1121968128055457E+001  -3.3220024678272573E+000  8.7644834117515165E+002  2.7217574314191978E+001  -6.4966955898622260E+001  0.0000000000000000E+000  -3.4994205075231925E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.1466953548356132E+003  2.0910298359967907E+000
  0.00500000  32  549.28476447356763  3.4609552070716973E+003  4.0101614275492193E+002  3.8619713498266192E+003  -3.6105667367843184E+003  -4.9830849895756032E+001  1.4878453936236579E+002  0.0000000000000000E+000  1.4878453936236579E+002  3.5035830250890893E+002  9.2324822225723437E+000   -1.1767366354132177E+001  -3.6572072918271203E+000  9.3685441117551875E+002  3.0323027703481984E+001  -7.2492923800364068E+001  0.0000000000000000E+000  -3.5332583659565017E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.2138157501641481E+003  2.0880551696410854E+000
  0.00500000  34  580.78894780273106  3.6728436729032578E+003  4.2579714316441158E+002  4.0986408160676692E+003  -3.8464563279042450E+003  -5.1793394816861174E+001  1.6460769779687345E+002  0.0000000000000000E+000  1.6460769779687345E+002  3.6499879114343531E+002  7.5567053346758257E+000   -1.2426761459921760E+001  -2.3771647460018905E+000  9.9695680833520782E+002  3.3550012646669281E+001  -8.0321280959092647E+001  0.0000000000000000E+000  -3.5550197303693139E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.2813374482949637E+003  2.0841907663958046E+000
  0.00500000  36  612.41900256910549  3.8855415346816008E+003  4.5045213420783148E+002  4.3359936688894322E+003  -4.0828754937974604E+003  -5.3698336310851381E+001  1.8104158410784154E+002  0.0000000000000000E+000  1.8104158410784154E+002  3.8046142288895828E+002  6.2974978192894469E+000   -1.3089486569613209E+001  -1.9174539195128257E+000  1.0569980965034556E+003  3.6903048001542182E+001  -8.8462253058466686E+001  0.0000000000000000E+000  -3.5523767835729508E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.3490265236656467E+003  2.0804857943995243E+000
  0.00500000  38  645.08080933701092  4.1022573475166619E+003  4.7504120112242720E+002  4.5772985486390889E+003  -4.3207478631692984E+003  -5.5559159141405324E+001  1.9807498397968206E+002  0.0000000000000000E+000  1.9807498397968206E+002  3.9906651030806734E+002  4.7934158424129691E+000   -1.3722951036890480E+001  -1.2670402458593357E+000  1.1164736251923568E+003  4.0361514853507629E+001  -9.6866859195673712E+001  0.0000000000000000E+000  -3.5425151453773893E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.4191091817179170E+003  2.0775128832761314E+000
