 9.9844302144697319E-002 -5.4551451699278623E+001  2.9966348708258337E+001 -2.2036255633014648E-003  2.4762337168790460E-001 -3.7277894265938592E-005
 1.9968860428939464E-001 -5.4553418464139035E+001  2.9966192746114700E+001 -2.4937922905225950E-003  2.4764350458821816E-001 -3.7283915300575108E-005
 2.9953290643409197E-001 -5.4553513924262091E+001  2.9966016270498052E+001 -2.8219608917092053E-003  2.4766629938166526E-001 -3.7290733087520759E-005
 3.9937720857878928E-001 -5.4553150727691296E+001  2.9965816580414774E+001 -3.1934466474752218E-003  2.4769210962004515E-001 -3.7298453634822456E-005
 4.9922151072348658E-001 -5.4552532411515749E+001  2.9965590618680562E+001 -3.6139130321968089E-003  2.4772133623982595E-001 -3.7307197208702656E-005
 5.9906581286818394E-001 -5.4551723707908742E+001  2.9965334924849127E+001 -4.0898334819882446E-003  2.4775443390294583E-001 -3.7317100255414724E-005
 6.9891011501288125E-001 -5.4550742911742979E+001  2.9965045581904690E+001 -4.6285398506670647E-003  2.4779191831591266E-001 -3.7328317623265490E-005
 7.9875441715757856E-001 -5.4549589495280152E+001  2.9964718155890495E+001 -5.2383367348741586E-003  2.4784010265786666E-001 -3.7342751213182096E-005
 8.9859871930227586E-001 -5.4548253099854612E+001  2.9964347627535435E+001 -5.9286310959883563E-003  2.4788819602244500E-001 -3.7357149140633859E-005
 9.9844302144697317E-001 -5.4546716907747637E+001  2.9963928314816961E+001 -6.7100792310340347E-003  2.4794267876259299E-001 -3.7373463570238975E-005
 1.0982873235916706E+000 -5.4544958934196359E+001  2.9963453785257744E+001 -7.5947534185817189E-003  2.4800440638940635E-001 -3.7391952130650034E-005
 1.1981316257363679E+000 -5.4542952415036872E+001  2.9962916756594741E+001 -8.5963308743488790E-003  2.4807435035970579E-001 -3.7412907648765534E-005
 1.2979759278810652E+000 -5.4540665734197724E+001  2.9962308984280266E+001 -9.7303080001144206E-003  2.4815930560087557E-001 -3.7438380361935412E-005
 1.3978202300257625E+000 -5.4538062074721090E+001  2.9961621134071969E+001 -1.1014243302091005E-002  2.4824914576908211E-001 -3.7465316017368640E-005
 1.4976645321704598E+000 -5.4535098871641338E+001  2.9960842637740804E+001 -1.2468032796463541E-002  2.4835098519607421E-001 -3.7495861826859477E-005
 1.5975088343151571E+000 -5.4531727095723447E+001  2.9959961529669062E+001 -1.4114222214021832E-002  2.4847209901563930E-001 -3.7532217110357123E-005
 1.6973531364598544E+000 -5.4527890374232321E+001  2.9958964261821848E+001 -1.5978360870018887E-002  2.4860302536026813E-001 -3.7571527005322645E-005
 1.7971974386045517E+000 -5.4523523940313972E+001  2.9957835494251047E+001 -1.8089402682508117E-002  2.4875713014976561E-001 -3.7617834834581499E-005
 1.8970417407492490E+000 -5.4518553393513507E+001  2.9956557857927763E+001 -2.0480160506908034E-002  2.4892557280967656E-001 -3.7668473701116540E-005
 1.9968860428939463E+000 -5.4512893245412208E+001  2.9955111686293019E+001 -2.3187820713107130E-002  2.4912226830238388E-001 -3.7727662171708849E-005
 2.0967303450386439E+000 -5.4506445218386304E+001  2.9953474711463922E+001 -2.6254525762960123E-002  2.4934470269321948E-001 -3.7794652932306683E-005
 2.1965746471833412E+000 -5.4499096256894596E+001  2.9951621720529722E+001 -2.9728033453954392E-002  2.4959641445455022E-001 -3.7870534487794405E-005
 2.2964189493280385E+000 -5.4490716202946224E+001  2.9949524166815344E+001 -3.3662462477013121E-002  2.4988144117751601E-001 -3.7956553375886747E-005
 2.3962632514727358E+000 -5.4481155077979452E+001  2.9947149730377198E+001 -3.8119134984274272E-002  2.5020439254992016E-001 -3.8054138560586031E-005
 2.4961075536174331E+000 -5.4470239901196408E+001  2.9944461821324442E+001 -4.3167527967421106E-002  2.5057053440650573E-001 -3.8164929902728227E-005
 2.5959518557621304E+000 -5.4457770963629159E+001  2.9941419018828963E+001 -4.8886346385012346E-002  2.5098588700748242E-001 -3.8290811892884832E-005
 2.6957961579068277E+000 -5.4443517458531836E+001  2.9937974437900564E+001 -5.5364732117291753E-002  2.5146262416634746E-001 -3.8435569026384931E-005
 2.7956404600515250E+000 -5.4427212354354637E+001  2.9934075015165060E+001 -6.2703623920807805E-002  2.5164748193313846E-001 -3.8491150917644871E-005
 2.8954847621962223E+000 -5.4408546371422176E+001  2.9929660704002909E+001 -7.1017284531327149E-002  2.5226025690174253E-001 -3.8677765507092803E-005
 2.9953290643409196E+000 -5.4387160901584792E+001  2.9924663568498364E+001 -8.0435011821890015E-002  2.5295626164766705E-001 -3.8890284277198998E-005
 3.0951733664856169E+000 -5.4362639678403852E+001  2.9919006764740857E+001 -9.1103051321820713E-002  2.5375236632649983E-001 -3.9134102506280945E-005
 3.1950176686303142E+000 -5.4334498972881583E+001  2.9912603397144473E+001 -1.0318672724464278E-001  2.5465716987802500E-001 -3.9412150110284623E-005
 3.2948619707750115E+000 -5.4302176049873424E+001  2.9905355236661979E+001 -1.1687280818614589E-001  2.5569118195183249E-001 -3.9731133932929962E-005
 3.3947062729197088E+000 -5.4265015576109747E+001  2.9897151287137262E+001 -1.3237212146303781E-001  2.5686769305006008E-001 -4.0095660674935707E-005
 3.4945505750644061E+000 -5.4222253622096204E+001  2.9887866185665700E+001 -1.4992242615437767E-001  2.5784796222873663E-001 -4.0400088901054418E-005
 3.5943948772091034E+000 -5.4172998845191167E+001  2.9877358422853618E+001 -1.6979154858096579E-001  2.5937810292544761E-001 -4.0878538252780289E-005
 3.6942391793538008E+000 -5.4116210389481502E+001  2.9865468369472666E+001 -1.9228077425053972E-001  2.6113188349431188E-001 -4.1430427127229041E-005
 3.7940834814984981E+000 -5.4050671981631425E+001  2.9852016097447581E+001 -2.1772847590750807E-001  2.6313336371995116E-001 -4.2064823228589961E-005
 3.8939277836431954E+000 -5.3974961664998787E+001  2.9836798985737865E+001 -2.4651393647471717E-001  2.6505368304830712E-001 -4.2677502177763177E-005
 3.9937720857878927E+000 -5.3887416592505318E+001  2.9819589105936409E+001 -2.7906129595596263E-001  2.6767800211681364E-001 -4.3522804076043332E-005
 4.0936163879325900E+000 -5.3786092328323910E+001  2.9800130388924323E+001 -3.1584350953636886E-001  2.7030906914547498E-001 -4.4378101588090053E-005
