 9.9844302144697319E-002 -7.0979814197844050E+001  2.6545669515758153E+001 -1.1158032257946248E-003  2.9728872879410121E-002  1.7492336848216230E-003 -1.3601542490565302E+002 -2.3792276290029418E-001
 1.9968860428939464E-001 -7.1000653659120218E+001  2.6545606402192234E+001 -1.2639537401918806E-003  2.9866928396713597E-002  1.7814349065512541E-003 -1.3587717319002766E+002 -2.4205633932422549E-001
 2.9953290643409197E-001 -7.1010092870815299E+001  2.6545534886696537E+001 -1.4317638882257592E-003  3.0100654673075079E-002  1.8356840259810315E-003 -1.3564221288967363E+002 -2.4899624345029225E-001
 3.9937720857878928E-001 -7.1017965632594297E+001  2.6545453841019416E+001 -1.6220500216532941E-003  3.0420928562569571E-002  1.9103054225965642E-003 -1.3532009922396401E+002 -2.5850271933384356E-001
 4.9922151072348658E-001 -7.1026166427407873E+001  2.6545361983329880E+001 -1.8378196133371195E-003  3.0819229136318908E-002  2.0036757941361617E-003 -1.3491983361855009E+002 -2.7033560477036717E-001
 5.9906581286818394E-001 -7.1035312613868768E+001  2.6545257856877640E+001 -2.0825264747213468E-003  3.1285480964743519E-002  2.1138486943080015E-003 -1.3445201357777174E+002 -2.8421121334845445E-001
 6.9891011501288125E-001 -7.1045650042421201E+001  2.6545139805598708E+001 -2.3601010784731436E-003  3.1808074365862145E-002  2.2385516092956635E-003 -1.3392876830656922E+002 -2.9980645982365661E-001
 7.9875441715757856E-001 -7.1057282677522153E+001  2.6545005946211440E+001 -2.6750180919387231E-003  3.2374123788263515E-002  2.3752238461490220E-003 -1.3336345478962815E+002 -3.1676805802114177E-001
 8.9859871930227586E-001 -7.1070248791586266E+001  2.6544854136276982E+001 -3.0323738250638047E-003  3.2969801904050036E-002  2.5210681264115822E-003 -1.3277028413028705E+002 -3.3472293145547621E-001
 9.9844302144697317E-001 -7.1084551085217001E+001  2.6544681937614865E+001 -3.4379751136313823E-003  3.3580710583985728E-002  2.6731099528246572E-003 -1.3216392149417629E+002 -3.5328869395041929E-001
 1.0982873235916706E+000 -7.1100170005149508E+001  2.6544486574368083E+001 -3.8984414035313037E-003  3.4192270185854579E-002  2.8282622420777383E-003 -1.3155908111687441E+002 -3.7208358172529826E-001
 1.1981316257363679E+000 -7.1117070012355967E+001  2.6544264884898872E+001 -4.4213220876505059E-003  3.4790113264459348E-002  2.9833934304309561E-003 -1.3097013154856879E+002 -3.9073543004467820E-001
 1.2979759278810652E+000 -7.1135202543613360E+001  2.6544013266564807E+001 -5.0152314811342845E-003  3.5360470259282892E-002  3.1353973828260090E-003 -1.3041072326258367E+002 -4.0888944040995179E-001
 1.3978202300257625E+000 -7.1154507264718546E+001  2.6543727612270260E+001 -5.6900042117390406E-003  3.5890535492879433E-002  3.2812634164111724E-003 -1.2989344852469125E+002 -4.2621462067555721E-001
 1.4976645321704598E+000 -7.1174912354463927E+001  2.6543403237508119E+001 -6.4568742595284773E-003  3.6368802585689038E-002  3.4181447101726617E-003 -1.2942954147413431E+002 -4.4240890252988530E-001
 1.5975088343151571E+000 -7.1196334180778393E+001  2.6543034796394821E+001 -7.3286814151233750E-003  3.6785359355772193E-002  3.5434233574891923E-003 -1.2902862460861948E+002 -4.5720304222288705E-001
 1.6973531364598544E+000 -7.1218676553185560E+001  2.6542616184954134E+001 -8.3201095527313650E-003  3.7132133476093794E-002  3.6547703471212457E-003 -1.2869850629499584E+002 -4.7036348452574778E-001
 1.7971974386045517E+000 -7.1241829645575436E+001  2.6542140429614005E+001 -9.4479618478722268E-003  3.7403081605580916E-002  3.7501988396667204E-003 -1.2844503255222207E+002 -4.8169441203829738E-001
 1.8970417407492490E+000 -7.1265668635167657E+001  2.6541599558539446E+001 -1.0731478927920857E-002  3.7594316367361186E-002  3.8281092444756421E-003 -1.2827199516327065E+002 -4.9103921049185123E-001
 1.9968860428939463E+000 -7.1290052075568013E+001  2.6540984453023611E+001 -1.2192706948853443E-002  3.7704167379151818E-002  3.8873247957634011E-003 -1.2818109713698885E+002 -4.9828155724877388E-001
 2.0967303450386439E+000 -7.1314820006662970E+001  2.6540284675687818E+001 -1.3856923765781966E-002  3.7733174499043190E-002  3.9271165718337466E-003 -1.2817197561259087E+002 -5.0334628947287641E-001
 2.1965746471833412E+000 -7.1339791791901092E+001  2.6539488271688157E+001 -1.5753132736458366E-002  3.7684013481464794E-002  3.9472171902840665E-003 -1.2824228142198837E+002 -5.0620013775011952E-001
 2.2964189493280385E+000 -7.1364763667447960E+001  2.6538581538475817E+001 -1.7914635296981774E-002  3.7561356285876070E-002  3.9478227344424861E-003 -1.2838781364014537E+002 -5.0685232951393100E-001
 2.3962632514727358E+000 -7.1389505982070347E+001  2.6537548758894353E+001 -2.0379695309822896E-002  3.7371670285701153E-002  3.9295828096260832E-003 -1.2860270650801135E+002 -5.0535498476526985E-001
 2.4961075536174331E+000 -7.1413760101432743E+001  2.6536371891500515E+001 -2.3192310345056661E-002  3.7122962528071776E-002  3.8935789783885641E-003 -1.2887966506563765E+002 -5.0180315464132574E-001
 2.5959518557621304E+000 -7.1437234949759400E+001  2.6535030210943059E+001 -2.6403107553380479E-002  3.6824476938435290E-002  3.8412921676267051E-003 -1.2921024466292485E+002 -4.9633430080082352E-001
 2.6957961579068277E+000 -7.1459603155714845E+001  2.6533499890001881E+001 -3.0070384663882684E-002  3.6486353893450708E-002  3.7745599636086992E-003 -1.2958516822485140E+002 -4.8912698785902226E-001
