# rho_B       Z   N                   R_WS                rho_gas_n                rho_liq_n                r_n                 a_n                  gamma_n             rho_gas_p           rho_liq_p                r_p                 a_p                  gamma_p
  0.00025000  40  95.267466580731281  50.550048826532958  1.0755915861536925E-005  9.7695781176621282E-002  5.8081570306302730  0.62879272741033954  1.0000000000000000  0.0000000000000000  5.2640677384421658E-002  5.5513445615770323  0.43415087271002839  1.0000000000000000
  0.00050000  40  179.01790989514927  47.112954359490324  1.9593265991006947E-004  9.8242896390288242E-002  5.8781556565898665  0.64057534030199337  1.0000000000000000  0.0000000000000000  5.1300613198597002E-002  5.6008487247220629  0.43475115196763137  1.0000000000000000
  0.00075000  40  248.95242906486507  45.139716344383920  3.9814407315528989E-004  9.8570065846385835E-002  5.9234750601040442  0.64787542824077815  1.0000000000000000  0.0000000000000000  5.0432544545701577E-002  5.6336590776132098  0.43551442019218900  1.0000000000000000
  0.00100000  40  307.61418391101262  43.618389523886904  6.0446288206129092E-004  9.8821802533168968E-002  5.9611398761368033  0.65374381372299983  1.0000000000000000  0.0000000000000000  4.9715586890131135E-002  5.6612530444080242  0.43630957441197249  1.0000000000000000
  0.00125000  40  358.64530642035726  42.383421278284438  8.1356004228554861E-004  9.9030577208205683E-002  5.9945495610304569  0.65882344529196568  1.0000000000000000  0.0000000000000000  4.9083549019118926E-002  5.6859708719177799  0.43712393716383802  1.0000000000000000
  0.00150000  40  404.24171775879574  41.350410357031741  1.0248566484840345E-003  9.9209808665576715E-002  6.0251184616736344  0.66338374505152597  1.0000000000000000  0.0000000000000000  4.8509195102316639E-002  5.7087656117861592  0.43795087452426451  1.0000000000000000
  0.00175000  40  442.26507422310493  40.369470316205437  1.2343313204703406E-003  9.9364739845692898E-002  6.0531369935994173  0.66750871649776478  1.0000000000000000  0.0000000000000000  4.7986123616827234E-002  5.7298106048529203  0.43877409965070790  1.0000000000000000
  0.00200000  40  478.41508127663127  39.553629459932466  1.4467208430244940E-003  9.9503878056356743E-002  6.0797437100539078  0.67137952778128429  1.0000000000000000  0.0000000000000000  4.7492570196770896E-002  5.7499253622968185  0.43961134766863380  1.0000000000000000
  0.00225000  40  510.32689080536153  38.795665159142480  1.6586627242540298E-003  9.9628105239461306E-002  6.1048499334017290  0.67499466123368279  1.0000000000000000  0.0000000000000000  4.7029711289081649E-002  5.7690237481047095  0.44044738954614066  1.0000000000000000
  0.00250000  40  539.31805600225130  38.103319780877051  1.8708574355235466E-003  9.9740569507850832E-002  6.1287955867641823  0.67841874729531182  1.0000000000000000  0.0000000000000000  4.6590990080086596E-002  5.7873416752397180  0.44128436941002813  1.0000000000000000
  0.00275000  40  565.01852254903622  37.449767217247192  2.0823783474212612E-003  9.9842623172291742E-002  6.1516370593624305  0.68166256218613641  1.0000000000000000  0.0000000000000000  4.6174908294929165E-002  5.8049104858353040  0.44212310958915740  1.0000000000000000
  0.00300000  40  590.96227139831285  36.891912995045928  2.2966122121456638E-003  9.9937009443574309E-002  6.1739095009031404  0.68480843936203140  1.0000000000000000  0.0000000000000000  4.5771746706326472E-002  5.8221225958337062  0.44297281419333479  1.0000000000000000
  0.00325000  40  613.94173393289793  36.351502110493229  2.5097796517968515E-003  0.10002288583370471      6.1952935454938221  0.68780705880486903  1.0000000000000000  0.0000000000000000  4.5386892094462887E-002  5.8387310470567142  0.44381675431116296  1.0000000000000000
  0.00350000  40  635.08608657584148  35.842709681379205  2.7228052274601480E-003  0.10010229334841689      6.2159792751473288  0.69070319612594755  1.0000000000000000  0.0000000000000000  4.5016667040805716E-002  5.8548726740048247  0.44466515011706775  1.0000000000000000
  0.00375000  40  654.87301926736768  35.366753110274118  2.9359870220819198E-003  0.10017546670513283      6.2360749863266491  0.69350141956269418  1.0000000000000000  0.0000000000000000  4.4659067670724195E-002  5.8706238759608871  0.44551135343883413  1.0000000000000000
  0.00400000  40  673.11334782228460  34.914298582726424  3.1488957784046611E-003  0.10024306080216744      6.2556215203290417  0.69621793540529686  1.0000000000000000  0.0000000000000000  4.4313290099443500E-002  5.8860041858337491  0.44636027675244050  1.0000000000000000
  0.00425000  40  690.77483696524496  34.495995442151376  3.3624999127526453E-003  0.10030583838055833      6.2747200697261194  0.69886176187724458  1.0000000000000000  0.0000000000000000  4.3977269351621891E-002  5.9010952258256282  0.44721268761545019  1.0000000000000000
  0.00450000  40  704.12607712253691  34.049844563157755  3.5721599759526959E-003  0.10036304124159795      6.2930065456782209  0.70138464970518699  1.0000000000000000  0.0000000000000000  4.3657360845824958E-002  5.9155970424017905  0.44805089370240514  1.0000000000000000
  0.00475000  40  724.90894867784721  33.750160381343797  3.7920008599993237E-003  0.10041838850188596      6.3117801938195051  0.70396583139447400  1.0000000000000000  0.0000000000000000  4.3330530483046206E-002  5.9305536638503451  0.44892791748091054  1.0000000000000000
  0.00500000  40  737.31370738793476  33.356404947305698  4.0026403186808899E-003  0.10046803649924446      6.3293706332927284  0.70638455036829906  1.0000000000000000  0.0000000000000000  4.3026064051328181E-002  5.9446135809200129  0.44977167581026506  1.0000000000000000
  0.00525000  40  750.78981401345993  33.006873188763429  4.2155120932060933E-003  0.10051441961854207      6.3468077152589739  0.70877352529797799  1.0000000000000000  0.0000000000000000  4.2725927755965246E-002  5.9585967320300552  0.45062601019518139  1.0000000000000000
  0.00550000  40  763.89305540390615  32.677512745040453  4.4287747366536503E-003  0.10055771653533788      6.3639636321403961  0.71112651516924519  1.0000000000000000  0.0000000000000000  4.2432062335625867E-002  5.9724094795531748  0.45148192521113600  1.0000000000000000
