# rho_B       Z   N                   R_WS                rho_gas_n                rho_liq_n                r_n                 a_n                  gamma_n             rho_gas_p           rho_liq_p                r_p                 a_p                  gamma_p
  0.00025000  40  94.565284650060534  50.462427540541782  9.5979558713910658E-006  9.7710418615556516E-002  5.8068827924684623  0.62850955513529949  1.0000000000000000  0.0000000000000000  5.2667618498090221E-002  5.5503720728018511  0.43412790934641077  1.0000000000000000
  0.00050000  40  178.82921355419472  47.099420311950773  1.9564482750860455E-004  9.8266272579625738E-002  5.8779692464982487  0.64047625359422122  1.0000000000000000  0.0000000000000000  5.1306493104111069E-002  5.6006384762471964  0.43472711782158818  1.0000000000000000
  0.00075000  40  253.74726333848344  45.388028495608324  4.0370125576939662E-004  9.8601098490250783E-002  5.9244891639216348  0.64795468959810032  1.0000000000000000  0.0000000000000000  5.0415366769370584E-002  5.6343255920482171  0.43551026243849150  1.0000000000000000
  0.00100000  40  313.12333294235890  43.847610901412871  6.1044013800759154E-004  9.8851554403937683E-002  5.9620851400643620  0.65379590512747621  1.0000000000000000  0.0000000000000000  4.9699754196320826E-002  5.6618797356417971  0.43630444276081487  1.0000000000000000
  0.00125000  40  369.29525784685353  42.757538638754184  8.2460595275572908E-004  9.9063499709805061E-002  5.9961728178019662  0.65896792076779231  1.0000000000000000  0.0000000000000000  4.9054981950891988E-002  5.6871101105784838  0.43713678861438976  1.0000000000000000
  0.00150000  40  417.41529858020505  41.755171566315596  1.0381798541279081E-003  9.9243058444305948E-002  6.0269271174674550  0.66354832550940301  1.0000000000000000  0.0000000000000000  4.8477261367998861E-002  5.7100552878045416  0.43797344820740164  1.0000000000000000
  0.00175000  40  459.42593641646312  40.842734527050752  1.2515989602277400E-003  9.9399405678171002E-002  6.0553426119443046  0.66772225363818549  1.0000000000000000  0.0000000000000000  4.7946975901819261E-002  5.7314108101157721  0.43881011849784513  1.0000000000000000
  0.00200000  40  497.20170184582520  40.025760430320652  1.4655830440861298E-003  9.9538055436550324E-002  6.0820116944022402  0.67159295987687617  1.0000000000000000  0.0000000000000000  4.7452300077327925E-002  5.7515923942584948  0.43965270481981550  1.0000000000000000
  0.00225000  40  534.25678708159478  39.350024140052597  1.6827029090583775E-003  9.9663826226777413E-002  6.1076114103134902  0.67526893384286690  1.0000000000000000  0.0000000000000000  4.6980639162281339E-002  5.7710765957388110  0.44050952245040709  1.0000000000000000
  0.00250000  40  564.61115305405360  38.649971564924229  1.8965356857410017E-003  9.9775767054367401E-002  6.1316116265841476  0.67869628438011131  1.0000000000000000  0.0000000000000000  4.6541162677431955E-002  5.7894486543240902  0.44135568116125773  1.0000000000000000
  0.00275000  40  596.63399097344370  38.091040829921141  2.1147386495548783E-003  9.9879465647863958E-002  6.1550815861306818  0.68202273688744708  1.0000000000000000  0.0000000000000000  4.6113984952079905E-002  5.8075151512161636  0.44221723678144775  1.0000000000000000
  0.00300000  40  622.40214942929333  37.494763878854911  2.3291932482038770E-003  9.9972575721291784E-002  6.1772529292635348  0.68514422585694912  1.0000000000000000  0.0000000000000000  4.5712865850753001E-002  5.8246689466814505  0.44306586097923895  1.0000000000000000
  0.00325000  40  648.44376606413834  36.979880250092151  2.5459897354531608E-003  0.10005871140137718      6.1988819667242270  0.68817241615372993  1.0000000000000000  0.0000000000000000  4.5323937311269935E-002  5.8414800945597376  0.44392643149161987  1.0000000000000000
  0.00350000  40  675.93748488486574  36.551579544008376  2.7661098670448332E-003  0.10013909119295639      6.2201503534371625  0.69114139641414696  1.0000000000000000  0.0000000000000000  4.4943593137566261E-002  5.8580964477566031  0.44479927186793194  1.0000000000000000
  0.00375000  40  693.29843661357074  36.007001822105146  2.9776193987898674E-003  0.10021047526370111      6.2399891593535788  0.69389890459423886  1.0000000000000000  0.0000000000000000  4.4590972315577071E-002  5.8736592671655536  0.44563894203933535  1.0000000000000000
  0.00400000  40  716.19942702973754  35.603764065307637  3.1962418290409069E-003  0.10027856942937999      6.2599441814336725  0.69666438844263312  1.0000000000000000  0.0000000000000000  4.4238337398720580E-002  5.8893759081414547  0.44651134876025067  1.0000000000000000
  0.00425000  40  733.73180690792526  35.159090892930273  3.4105989019751612E-003  0.10034036568565104      6.2790095688457406  0.69929673031874540  1.0000000000000000  0.0000000000000000  4.3903238978909409E-002  5.9044592047517606  0.44736377820714374  1.0000000000000000
  0.00450000  40  752.64088171285493  34.774304149376064  3.6275996338258573E-003  0.10039822142653809      6.2978622773634214  0.70189353806488519  1.0000000000000000  0.0000000000000000  4.3573753319990929E-002  5.9194304296328202  0.44823040069619158  1.0000000000000000
  0.00475000  40  769.01057430455410  34.386712669250983  3.8429627404556297E-003  0.10045162719645971      6.3161516433806515  0.70440500901718706  1.0000000000000000  0.0000000000000000  4.3255903958270614E-002  5.9340083239837460  0.44909164589857598  1.0000000000000000
  0.00500000  40  787.55986776675036  34.060179779734121  4.0617409654789671E-003  0.10050185900857836      6.3343616779981513  0.70690419040757591  1.0000000000000000  0.0000000000000000  4.2941033985533804E-002  5.9485843898059807  0.44996675774523143  1.0000000000000000
  0.00525000  40  832.52070995242184  34.106928474992664  4.3102396698472788E-003  0.10055358923916427      6.3546114398602827  0.70966764499498547  1.0000000000000000  0.0000000000000000  4.2592636019193449E-002  5.9648699700305636  0.45096455495265675  1.0000000000000000
  0.00550000  40  815.00688381332759  33.355908270195727  4.4912739576477324E-003  0.10058995219952821      6.3690228919176608  0.71163711935274732  1.0000000000000000  0.0000000000000000  4.2346713183639390E-002  5.9764662561438842  0.45168868687440261  1.0000000000000000
  0.00575000  40  826.73959978116216  33.014956423821779  4.7048763673355901E-003  0.10062936374404005      6.3857940584687736  0.71392661863213136  1.0000000000000000  0.0000000000000000  4.2061364917108754E-002  5.9900280150666774  0.45254955570037386  1.0000000000000000
  0.00600000  40  876.79097284970453  33.164757255908299  4.9633713905574642E-003  0.10067165041093085      6.4057705810416961  0.71662907954948674  1.0000000000000000  0.0000000000000000  4.1722874573890852E-002  6.0062709363320632  0.45359000240734010  1.0000000000000000
  0.00625000  40  851.03426957142472  32.407231160468832  5.1350751187442074E-003  0.10069973992552217      6.4187552318953136  0.71840619624515878  1.0000000000000000  0.0000000000000000  4.1504893812481236E-002  6.0168165767735839  0.45428189301379557  1.0000000000000000
  0.00650000  40  883.88815867005292  32.374704392083608  5.3763482726499057E-003  0.10073378914968782      6.4368188492591685  0.72084681957529750  1.0000000000000000  0.0000000000000000  4.1202077510483340E-002  6.0315867087681472  0.45525710283706233  1.0000000000000000
  0.00675000  40  874.66442493699230  31.863230254319468  5.5670097391799572E-003  0.10076028292251032      6.4508554338178792  0.72276188523030560  1.0000000000000000  0.0000000000000000  4.0968503354771917E-002  6.0430723490673426  0.45602893585688153  1.0000000000000000
  0.00700000  40  903.40974922414989  31.805671582030762  5.8052523717791096E-003  0.10078886260799128      6.4681512723394761  0.72508732159483946  1.0000000000000000  0.0000000000000000  4.0681437660323665E-002  6.0573038718716425  0.45699512663523068  1.0000000000000000
