 2.5000000000000001E-004  4.0005923858509705E-007  4.7333646383490065E-004  5.4996110887038414E-007  4.7428648418235608E-004
 5.0000000000000001E-004  4.6411386832391416E-005  6.2736101893142869E-004  7.2888152330288704E-007  6.7450128728712300E-004
 7.5000000000000002E-004  1.4515469275344747E-004  7.4448481947189844E-004  8.6493404911082804E-007  8.9050444627445670E-004
 1.0000000000000000E-003  2.8215175209166376E-004  8.5392895936860940E-004  9.9206422889492042E-007  1.1370727756891681E-003
 1.2500000000000000E-003  4.5102746988338519E-004  9.5790703448870478E-004  1.1128439082950036E-006  1.4100473482803850E-003
 1.5000000000000000E-003  6.4777874426959377E-004  1.0572895544603818E-003  1.2282845847808900E-006  1.7062965833147565E-003
 1.7500000000000000E-003  8.6552764006070696E-004  1.1638752592950388E-003  1.3520915297976581E-006  2.0307549908855434E-003
 2.0000000000000000E-003  1.1069204138411169E-003  1.2629253308671187E-003  1.4671446479309870E-006  2.3713128893561668E-003
 2.2499999999999998E-003  1.3665520170090659E-003  1.3645650131376211E-003  1.5852051963117088E-006  2.7327022353429990E-003
 2.5000000000000001E-003  1.6436634702083042E-003  1.4664908892596279E-003  1.7035976579722646E-006  3.1118579571259046E-003
 2.7499999999999998E-003  1.9356720760452465E-003  1.5715835391285184E-003  1.8256680130754811E-006  3.5090812831868406E-003
 3.0000000000000001E-003  2.2463334201175880E-003  1.6688298353859934E-003  1.9386240387962352E-006  3.9171018795423774E-003
 3.2499999999999999E-003  2.5693457954313183E-003  1.7703126899135844E-003  2.0565006493512398E-006  4.3417149859942541E-003
 3.5000000000000001E-003  2.9051243670432957E-003  1.8730034074509927E-003  2.1757798898032221E-006  4.7803035543840912E-003
 3.7499999999999999E-003  3.2533742455932439E-003  1.9758930296754885E-003  2.2952898376318842E-006  5.2315625651063640E-003
 4.0000000000000001E-003  3.6127026843961441E-003  2.0803339209604509E-003  2.4166013296561316E-006  5.6954532066862511E-003
 4.2500000000000003E-003  3.9841634134467714E-003  2.1830996931356535E-003  2.5359668340861311E-006  6.1697990734165108E-003
 4.4999999999999997E-003  4.3589013371330056E-003  2.2997986997930001E-003  2.6715158905696364E-006  6.6613715528165756E-003
 4.7499999999999999E-003  4.7620949616665152E-003  2.3825847954551498E-003  2.7676739929288071E-006  7.1474474311145940E-003
 5.0000000000000001E-003  5.1578061438111123E-003  2.4971036095028211E-003  2.9006901917381491E-006  7.6578104435056716E-003
 5.2500000000000003E-003  5.5666299634718371E-003  2.6045790267899185E-003  3.0255250848222776E-006  8.1742345153465786E-003
 5.4999999999999997E-003  5.9848097221953962E-003  2.7111938241808301E-003  3.1493601344301495E-006  8.6991529065106564E-003
 5.7499999999999999E-003  6.4110867724681206E-003  2.8186303099667371E-003  3.2741493855014410E-006  9.2329912318203592E-003
 6.0000000000000001E-003  6.8453920278639000E-003  2.9262843716993427E-003  3.3991911601388720E-006  9.7750755907233828E-003
 6.2500000000000003E-003  7.2863770835066401E-003  3.0360424558734862E-003  3.5266765983547006E-006  1.0325946215978481E-002
 6.4999999999999997E-003  7.7358316562988203E-003  3.1442354706506474E-003  3.6523440109535316E-006  1.0883719470960422E-002
 6.7499999999999999E-003  8.1914191388609350E-003  3.2544841261307189E-003  3.7803989018976647E-006  1.1449683663893552E-002
 7.0000000000000001E-003  8.6539049894527389E-003  3.3649520013617476E-003  3.9087082536774287E-006  1.2022765699068164E-002
 7.2500000000000004E-003  9.1232685643194388E-003  3.4752797138925266E-003  4.0368546484703812E-006  1.2602585132860436E-002
 7.4999999999999997E-003  9.5927269898412638E-003  3.5961210411023458E-003  4.1772125077102974E-006  1.3193025243451320E-002
